Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,8000000,14000000,23000000,19000000,9000000,11310000.42,17290000.92,13380000.11,13890000.34,15000000,10000000,23000000,17000000,19000000,27000000,25000000,30000000,10000000,11000000,12000000,19000000,2000000,1000000,6000000,19000000,143000000,91000000,5000000,66000000,23000000,50000000,88000000,65000000,125000000,122000000,70000000,56000000,60000000,53229999.54,77349998.47,129820007.3,94419998.17,156429992.7,567799987.8,402299987.8,608609985.4,315779998.8,371730011,811369995.1,726039978,802630004.9,659280029.3,693400024.4,678780029.3,664840026.9,746429992.7,874890014.6,1026680054,821320007.3,865979980.5,794179992.7,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",DC.DAC.SVKL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.999776,59999.99866,29999.99933,19999.99955,19999.99955,19999.99955,9999.999776,,209999.9934,9999.999776,189999.9976,270000.0107,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, Norway (current US$)",DC.DAC.NORL.CD,,,,,100000.0015,100000.0015,230000.0042,159999.9964,109999.9994,200000.003,180000.0072,109999.9994,119999.9973,400000.006,939999.9976,340000.0036,400000.006,419999.9869,370000.0048,1490000.01,1000000,1850000.024,1909999.967,2289999.962,8960000.038,11960000.04,9399999.619,11649999.62,16850000.38,21110000.61,25469999.31,25940000.53,26899999.62,9869999.886,29079999.92,24610000.61,21379999.16,28420000.08,26719999.31,23930000.31,23569999.69,16250000,28479999.54,37180000.31,34040000.92,38069999.69,41799999.24,34139999.39,37279998.78,37810001.37,32560001.37,29090000.15,39150001.53,61069999.69,59470001.22,48340000.15,52590000.15,60049999.24,63970001.22,79330001.83,78169998.17,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,9999.999776,9999.999776,9999.999776,9999.999776,19999.99955,19999.99955,50000.00075,79999.99821,79999.99821,280000.0012,239999.9946,500000,560000.0024,1309999.943,5239999.771,4610000.134,1899999.976,1620000.005,3049999.952,1669999.957,959999.9785,1970000.029,189999.9976,1419999.957,2470000.029,6559999.943,5329999.924,13680000.31,12279999.73,11149999.62,10289999.96,15619999.89,7289999.962,45919998.17,43340000.15,62490001.68,50150001.53,37330001.83,26079999.92,40380001.07,34029998.78,52389999.39,50529998.78,56529998.78,33330001.83,34169998.17,57849998.47,36029998.78,47119998.93,97760002.14,93889999.39,120569999.7,108669998.2,150119995.1,82769996.64,54200000.76,62610000.61,38900001.53,69410003.66,64449996.95,75230003.36,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, Hungary (current US$)",DC.DAC.HUNL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19999.99955,,119999.9973,129999.9952,170000.0018,129999.9952,129999.9952,29999.99933,59999.99866,90000.00358,70000.0003,490000.0095,3089999.914,860000.0143,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,,,,,,,,,,,,180000.0072,379999.9952,469999.9988,519999.9809,270000.0107,2119999.886,250000,189999.9976,319999.9928,250000,730000.0191,680000.0072,2670000.076,2680000.067,10600000.38,8989999.771,11640000.34,10529999.73,16459999.08,21190000.53,18280000.69,7960000.038,1309999.943,3809999.943,7650000.095,7239999.771,6630000.114,7000000,5940000.057,5659999.847,5050000.191,4579999.924,9159999.847,9060000.42,11079999.92,13210000.04,9979999.542,15989999.77,23489999.77,25639999.39,23649999.62,31129999.16,20639999.39,40889999.39,24750000,21709999.08,21170000.08,18860000.61,22920000.08,25840000.15,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",DC.DAC.CZEL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769999.9809,610000.0143,500000,1210000.038,1029999.971,1220000.029,2930000.067,3099999.905,3589999.914,3619999.886,3230000.019,3230000.019,3799999.952,5039999.962,5309999.943,5289999.962,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, Belgium (current US$)",DC.DAC.BELL.CD,,,,,,,,39999.99911,79999.99821,79999.99821,90000.00358,119999.9973,129999.9952,140000.0006,300000.0119,379999.9952,389999.9857,449999.9881,759999.9905,200000.003,100000.0015,819999.9928,159999.9964,389999.9857,230000.0042,8210000.038,5480000.019,2339999.914,6570000.172,3940000.057,4550000.191,2549999.952,3859999.895,2670000.076,4630000.114,3410000.086,8569999.695,6650000.095,7900000.095,2859999.895,8899999.619,13359999.66,1570000.052,7980000.019,9439999.58,5340000.153,6599999.905,13130000.11,8770000.458,6300000.191,4179999.828,8399999.619,3259999.99,2519999.981,3359999.895,1779999.971,2009999.99,3730000.019,3849999.905,5360000.134,3720000.029,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,14710000.14,20169999.83,25599999.98,22569999.99,12419999.99,16200000.35,22160001.02,24650000.13,32840000.49,30189999.88,32659999.39,37639999.86,37669999.91,50860000.29,93199999.6,81070000.17,91280000.46,63150001.4,64700000.08,88830002.05,123530000.3,117639999.1,103860001.2,140490001.7,245129996.2,519609995.2,482629989.8,408690002.5,713210006.4,432699992.7,618970004.3,626249995.6,748089995.1,538629996.3,749129988.8,606240003.4,500619999.9,414870001.6,480630004.4,408480001.8,448970001,467579999.1,606609996.4,1183519985,1139459990,1351029987,1221409988,1610330024,2292219999,2020739999,2094390013,2128510024,2024970007,2034410016,2181890052,2009669988,2382350041,2419460060,2332720002,2360659986,2553819995,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, Portugal (current US$)",DC.DAC.PRTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150000.095,819999.9928,9999.999776,79999.99821,129999.9952,129999.9952,209999.9934,19999.99955,,19999.99955,39999.99911,39999.99911,50000.00075,39999.99911,39999.99911,39999.99911,39999.99911,50000.00075,39999.99911,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, Netherlands (current US$)",DC.DAC.NLDL.CD,,,,,,,,,,,219999.9988,330000.0131,519999.9809,680000.0072,3579999.924,2690000.057,5670000.076,10590000.15,4539999.962,5500000,3819999.933,4210000.038,3170000.076,2519999.981,9220000.267,8020000.458,8369999.886,6840000.153,22559999.47,10680000.31,24920000.08,26030000.69,28479999.54,34360000.61,32509998.32,39520000.46,60159999.85,35439998.63,36840000.15,31219999.31,25719999.31,44180000.31,34790000.92,57229999.54,57520000.46,58659999.85,49759998.32,50759998.32,113629997.3,85900001.53,54250000,67900001.53,79339996.34,76650001.53,89949996.95,80480003.36,73849998.47,82370002.75,78800003.05,97559997.56,108550003.1,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,6130000.114,5409999.847,1279999.971,1870000.005,1360000.014,1379999.995,1029999.971,2009999.99,7269999.981,1889999.986,9029999.733,3869999.886,2349999.905,3490000.01,10359999.66,2180000.067,2559999.943,409999.9964,1889999.986,5019999.981,7469999.79,14579999.92,10800000.19,15329999.92,44849998.47,81599998.47,151619995.1,127750000,231970001.2,138399993.9,169100006.1,83059997.56,42669998.17,12050000.19,41110000.61,116120002.7,40310001.37,31670000.08,46220001.22,18700000.76,25969999.31,13560000.42,49240001.68,47569999.69,11210000.04,86930000.31,105389999.4,75470001.22,65860000.61,53970001.22,18309999.47,24760000.23,-3019999.981,-18170000.08,10630000.11,18659999.85,19059999.47,21000000,40090000.15,19530000.69,22790000.92,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, Greece (current US$)",DC.DAC.GRCL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2819999.933,109999.9994,239999.9946,159999.9964,1190000.057,550000.0119,230000.0042,419999.9869,1590000.033,1490000.01,1169999.957,2430000.067,3109999.895,2230000.019,1389999.986,1100000.024,850000.0238,90000.00358,90000.00358,70000.0003,9999.999776,50000.00075,70000.0003,79999.99821,,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, Spain (current US$)",DC.DAC.ESPL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090000.033,6480000.019,8869999.886,4519999.981,1090000.033,150000.006,209999.9934,519999.9809,970000.0286,330000.0131,689999.9976,-349999.994,-1110000.014,1179999.948,1799999.952,810000.0024,4480000.019,9720000.267,27079999.92,60540000.92,94000000,39459999.08,38819999.69,14739999.77,8220000.267,7960000.038,6840000.153,7630000.114,8250000,8069999.695,7260000.229,7780000.21,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, Slovenia (current US$)",DC.DAC.SVNL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29999.99933,59999.99866,9999.999776,,,,,,,,,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, New Zealand (current US$)",DC.DAC.NZLL.CD,,,,,,,,,,,,,,70000.0003,,,,,,,,,,,,,,,,,39999.99911,9999.999776,29999.99933,,140000.0006,59999.99866,150000.006,180000.0072,59999.99866,209999.9934,270000.0107,180000.0072,790000.0215,1279999.971,800000.0119,1210000.038,159999.9964,59999.99866,340000.0036,400000.006,,189999.9976,19999.99955,39999.99911,209999.9934,239999.9946,479999.9893,740000.0095,1429999.948,4449999.809,2740000.01,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",DC.DAC.KORL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19999.99955,29999.99933,360000.0143,460000.0083,280000.0012,330000.0131,529999.9714,529999.9714,460000.0083,540000.0215,639999.9857,490000.0095,500000,839999.9738,1049999.952,2069999.933,2369999.886,2289999.962,3299999.952,4389999.866,4159999.847,10199999.81,11609999.66,20440000.53,27340000.15,42909999.85,46020000.46,61590000.15,46950000.76,84540000.92,74470001.22,108620002.7,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,,,,,,,,,,,,,,,,19999.99955,9999.999776,9999.999776,,,,,9999.999776,19999.99955,90000.00358,29999.99933,280000.0012,129999.9952,140000.0006,140000.0006,850000.0238,970000.0286,790000.0215,629999.9952,3109999.895,8199999.809,13729999.54,15890000.34,16709999.08,16760000.23,21629999.16,21090000.15,25299999.24,33380001.07,42439998.63,44099998.47,50630001.07,58939998.63,72669998.17,52470001.22,49229999.54,49520000.46,42659999.85,45770000.46,48270000.46,38779998.78,39229999.54,40619998.93,44020000.46,44479999.54,45220001.22,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,,,,,,,,,,,,,,,,790000.0215,,400000.006,,,3200000.048,2190000.057,2740000.01,5000000,5190000.057,6530000.21,10289999.96,7190000.057,9439999.58,11510000.23,15409999.85,8350000.381,10850000.38,12369999.89,17639999.39,10630000.11,10829999.92,7570000.172,10520000.46,10529999.73,9409999.847,6610000.134,10180000.31,15560000.42,26250000,15189999.58,17350000.38,20049999.24,18739999.77,38270000.46,13300000.19,13189999.58,20680000.31,46599998.47,52409999.85,14010000.23,19530000.69,53060001.37,16909999.85,56770000.46,73639999.39,
Ethiopia,ETH,"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,300000.0119,349999.994,699999.9881,689999.9976,879999.9952,1429999.948,3130000.114,5480000.019,3430000.067,3680000.067,4949999.809,,6530000.21,7420000.076,11100000.38,15109999.66,9170000.076,9560000.42,12380000.11,16530000.69,14899999.62,12829999.92,11729999.54,9340000.153,28299999.24,25430000.31,25129999.16,26670000.08,36330001.83,49610000.61,46689998.63,47520000.46,135750000,51069999.69,165619995.1,75019996.64,81430000.31,58299999.24,63490001.68,37459999.08,38630001.07,25879999.16,40610000.61,47610000.61,126089996.3,49849998.47,56759998.32,96480003.36,98250000,79819999.69,96449996.95,101209999.1,116839996.3,85889999.39,58340000.15,49119998.93,132330001.8,137339996.3,175110000.6,141630004.9,447440002.4,
