year,UnitedStates,SlovakRepublic,Norway,Japan,Hungary,Finland,CzechRepublic,Belgium,Portugal,Netherlands,Italy,Greece,Spain,Slovenia,NewZealand,"Korea,Rep.",Ireland,France,Germany
1960,8000000.0,0.0,0.0,9999.999776,0.0,0.0,0.0,0.0,0.0,0.0,6130000.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0119
1961,14000000.0,0.0,0.0,9999.999776,0.0,0.0,0.0,0.0,0.0,0.0,5409999.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349999.994
1962,23000000.0,0.0,0.0,9999.999776,0.0,0.0,0.0,0.0,0.0,0.0,1279999.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699999.9881
1963,19000000.0,0.0,0.0,9999.999776,0.0,0.0,0.0,0.0,0.0,0.0,1870000.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689999.9976
1964,9000000.0,0.0,100000.0015,19999.99955,0.0,0.0,0.0,0.0,0.0,0.0,1360000.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879999.9952
1965,11310000.42,0.0,100000.0015,19999.99955,0.0,0.0,0.0,0.0,0.0,0.0,1379999.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429999.948
1966,17290000.92,0.0,230000.0042,50000.00075,0.0,0.0,0.0,0.0,0.0,0.0,1029999.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3130000.114
1967,13380000.11,0.0,159999.9964,79999.99821,0.0,0.0,0.0,39999.99911,0.0,0.0,2009999.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5480000.019
1968,13890000.34,0.0,109999.9994,79999.99821,0.0,0.0,0.0,79999.99821,0.0,0.0,7269999.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3430000.067
1969,15000000.0,0.0,200000.003,280000.0012,0.0,0.0,0.0,79999.99821,0.0,0.0,1889999.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680000.067
1970,10000000.0,0.0,180000.0072,239999.9946,0.0,0.0,0.0,90000.00358,0.0,219999.9988,9029999.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4949999.809
1971,23000000.0,0.0,109999.9994,500000.0,0.0,180000.0072,0.0,119999.9973,0.0,330000.0131,3869999.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,17000000.0,0.0,119999.9973,560000.0024,0.0,379999.9952,0.0,129999.9952,0.0,519999.9809,2349999.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6530000.21
1973,19000000.0,0.0,400000.006,1309999.943,0.0,469999.9988,0.0,140000.0006,0.0,680000.0072,3490000.01,0.0,0.0,0.0,70000.0003,0.0,0.0,0.0,7420000.076
1974,27000000.0,0.0,939999.9976,5239999.771,0.0,519999.9809,0.0,300000.0119,0.0,3579999.924,10359999.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11100000.38
1975,25000000.0,0.0,340000.0036,4610000.134,0.0,270000.0107,0.0,379999.9952,0.0,2690000.057,2180000.067,0.0,0.0,0.0,0.0,0.0,19999.99955,790000.0215,15109999.66
1976,30000000.0,0.0,400000.006,1899999.976,0.0,2119999.886,0.0,389999.9857,0.0,5670000.076,2559999.943,0.0,0.0,0.0,0.0,0.0,9999.999776,0.0,9170000.076
1977,10000000.0,0.0,419999.9869,1620000.005,0.0,250000.0,0.0,449999.9881,0.0,10590000.15,409999.9964,0.0,0.0,0.0,0.0,0.0,9999.999776,400000.006,9560000.42
1978,11000000.0,0.0,370000.0048,3049999.952,0.0,189999.9976,0.0,759999.9905,0.0,4539999.962,1889999.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12380000.11
1979,12000000.0,0.0,1490000.01,1669999.957,0.0,319999.9928,0.0,200000.003,0.0,5500000.0,5019999.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16530000.69
1980,19000000.0,0.0,1000000.0,959999.9785,0.0,250000.0,0.0,100000.0015,0.0,3819999.933,7469999.79,0.0,0.0,0.0,0.0,0.0,0.0,3200000.048,14899999.62
1981,2000000.0,0.0,1850000.024,1970000.029,0.0,730000.0191,0.0,819999.9928,0.0,4210000.038,14579999.92,0.0,0.0,0.0,0.0,0.0,0.0,2190000.057,12829999.92
1982,1000000.0,0.0,1909999.967,189999.9976,0.0,680000.0072,0.0,159999.9964,0.0,3170000.076,10800000.19,0.0,0.0,0.0,0.0,0.0,9999.999776,2740000.01,11729999.54
1983,6000000.0,0.0,2289999.962,1419999.957,0.0,2670000.076,0.0,389999.9857,0.0,2519999.981,15329999.92,0.0,0.0,0.0,0.0,0.0,19999.99955,5000000.0,9340000.153
1984,19000000.0,0.0,8960000.038,2470000.029,0.0,2680000.067,0.0,230000.0042,0.0,9220000.267,44849998.47,0.0,0.0,0.0,0.0,0.0,90000.00358,5190000.057,28299999.24
1985,143000000.0,0.0,11960000.04,6559999.943,0.0,10600000.38,0.0,8210000.038,0.0,8020000.458,81599998.47,0.0,0.0,0.0,0.0,0.0,29999.99933,6530000.21,25430000.31
1986,91000000.0,0.0,9399999.619,5329999.924,0.0,8989999.771,0.0,5480000.019,0.0,8369999.886,151619995.1,0.0,0.0,0.0,0.0,0.0,280000.0012,10289999.96,25129999.16
1987,5000000.0,0.0,11649999.62,13680000.31,0.0,11640000.34,0.0,2339999.914,0.0,6840000.153,127750000.0,0.0,0.0,0.0,0.0,0.0,129999.9952,7190000.057,26670000.08
1988,66000000.0,0.0,16850000.38,12279999.73,0.0,10529999.73,0.0,6570000.172,0.0,22559999.47,231970001.2,0.0,0.0,0.0,0.0,0.0,140000.0006,9439999.58,36330001.83
